nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
75,212,148,1,3,Kihnu,2012,4,NA,50.291724398471445,74.62855307231925,136.2964262658709,177.88966061530257,NA,NA,NA,NA
32,133,37.9,3,3,Kihnu,2012,4,NA,26.85290059811577,53.751452616091356,106.7392391524313,130.31872111466262,NA,NA,NA,NA
48,192,105.7,0,4,Kihnu,2012,5,NA,29.242515045990974,69.39028139990924,96.31773529998269,166.02909958142388,188.38750633275444,NA,NA,NA
29,103,17.3,0,3,Kõiguste,2014,2,NA,55.9147082649777,93.13719014122559,NA,NA,NA,NA,NA,NA
31,87,8.5,1,3,Kõiguste,2014,2,NA,40.83969884827037,79.37418111757592,NA,NA,NA,NA,NA,NA
22,74,5.3,3,NA,Kõiguste,2014,2,NA,28.118332243794963,70.04025262262172,NA,NA,NA,NA,NA,NA
23,75,5.7,3,2,Kõiguste,2014,2,NA,32.904315764570356,72.91666914673554,NA,NA,NA,NA,NA,NA
30,78,5.7,3,2,Kõiguste,2014,2,NA,24.465094064512424,72.43857275419231,NA,NA,NA,NA,NA,NA
35,66,3.4,3,2,Kõiguste,2014,2,NA,27.399637224558035,57.36987035883857,NA,NA,NA,NA,NA,NA
15,106,17.3,0,3,Kõiguste,2014,3,NA,44.190483822305126,85.17657937762117,103.752381229902,NA,NA,NA,NA,NA
16,103,9.5,0,3,Kõiguste,2014,3,NA,42.70546375200287,78.13603014752161,100.69941356128469,NA,NA,NA,NA,NA
20,107,11.7,0,3,Kõiguste,2014,3,NA,36.8274352119944,84.81955735807747,103.2026120520583,NA,NA,NA,NA,NA
21,104,13.9,0,3,Kõiguste,2014,3,NA,45.11614836955681,78.09462103068002,102.20256863154934,NA,NA,NA,NA,NA
24,109,16.2,0,3,Kõiguste,2014,3,NA,36.62605128990772,69.692533637099,107.00732520071331,NA,NA,NA,NA,NA
27,97,10.4,0,3,Kõiguste,2014,3,NA,45.63309114506254,76.26394263359224,89.84392300303354,NA,NA,NA,NA,NA
28,116,15.7,0,3,Kõiguste,2014,3,NA,44.50466658101896,85.68282938445013,112.93955766577488,NA,NA,NA,NA,NA
34,97,11.3,0,4,Kõiguste,2014,3,NA,29.666070293661427,55.541265686493624,94.53750199931105,NA,NA,NA,NA,NA
