nr,sex,location,introduction,age,tl
1,1,Käsmu,2012,1,46.062791442072054
2,1,Käsmu,2012,1,37.152371720615825
10,1,Käsmu,2012,1,37.283953400033376
11,1,Käsmu,2012,1,35.14322049920672
12,1,Käsmu,2012,1,38.67708956812752
13,1,Käsmu,2012,1,28.099155577758975
14,1,Käsmu,2012,1,26.293865052871542
24,1,Käsmu,2012,1,36.363171837028894
25,1,Käsmu,2012,1,46.631749087716486
26,1,Käsmu,2012,1,54.04398032601713
27,1,Käsmu,2012,1,29.647798426424185
32,1,Käsmu,2012,1,37.516855021573704
33,1,Käsmu,2012,1,49.267704571639506
34,1,Käsmu,2012,1,51.375954901532715
35,1,Käsmu,2012,1,67.63871740773628
38,1,Käsmu,2012,1,42.35231934483801
41,1,Käsmu,2012,1,35.62280499208588
4,3,Käsmu,2012,1,34.04971597592741
22,3,Käsmu,2012,1,22.504611391492134
28,3,Käsmu,2012,1,25.365739285375707
31,3,Käsmu,2012,1,22.415503999779947
40,0,Käsmu,2012,1,29.747063638903477
43,0,Käsmu,2012,1,29.66989879479646
44,0,Käsmu,2012,1,32.33021789411786
45,0,Käsmu,2012,1,32.451788201602305
46,0,Käsmu,2012,1,51.33258570262901
47,0,Käsmu,2012,1,45.60306985687461
7,1,Käsmu,2012,1,55.70330827406623
8,1,Käsmu,2012,1,52.81972758448845
74,0,Käsmu,2012,1,36.66886589603628
17,0,Matsalu,2016,1,45.57349988318064
20,0,Matsalu,2016,1,52.16134261677422
21,0,Matsalu,2016,1,78.79002161893438
1,0,Matsalu,2016,1,50.302913562109055
3,0,Matsalu,2016,1,58.3254508777093
6,0,Matsalu,2016,1,34.70132973318796
7,0,Matsalu,2016,1,23.964785006396315
8,0,Matsalu,2016,1,55.98610286442451
9,0,Matsalu,2016,1,43.824368130666485
14,0,Matsalu,2016,1,29.417982929464475
16,0,Matsalu,2016,1,55.199591789323804
18,0,Matsalu,2016,1,47.16663646780387
22,0,Matsalu,2016,1,56.149069659048
25,0,Matsalu,2016,1,44.4630314207806
32,0,Matsalu,2016,1,50.6300731626276
33,0,Matsalu,2016,1,36.08824449395517
35,0,Matsalu,2016,1,59.64013080670522
43,0,Matsalu,2016,1,70.39371521118326
19,1,Matsalu,2016,1,43.38116658755297
38,1,Matsalu,2016,1,51.305816714837654
39,1,Matsalu,2016,1,58.204975918504026
40,1,Matsalu,2016,1,50.67551076820826
42,1,Matsalu,2016,1,50.03709728135128
44,1,Matsalu,2016,1,69.95855291652462
45,1,Matsalu,2016,1,38.20370903669002
48,1,Matsalu,2016,1,69.3165495108297
50,1,Matsalu,2016,1,48.335375488964914
53,1,Matsalu,2016,1,58.502172234870145
10,3,Matsalu,2016,1,54.16315153164605
11,3,Matsalu,2016,1,57.731417159178996
12,3,Matsalu,2016,1,33.37939728917684
13,3,Matsalu,2016,1,43.949495955159485
4,3,Matsalu,2016,1,33.3082561654708
